privilege,loginId,password,emailAddress,mobileNumber,name,cineplexLocation
0,mengkiat,password123,mengkiat@gmail.com,91112222,Meng Kiat,
0,nicky,password123,nicky@gmail.com,91113333,Nicky,
0,yongjie,password124,yongjie@gmail.com,91114444,Yong Jie,
0,jinkai,password125,jinkai@gmail.com,91115555,Jin Kai,
0,sahana,password126,sahana@gmail.com,91116666,Sahana,
0,xavier,password127,xavier@gmail.com,91117777,Xavier,
0,tharun,password128,tharun@gmail.com,91118888,Tharun,
1,zhanglettier,ad1102,zhangl@gmail.com,90001102,Zhang Lettier,Tampines
1,lokeyr,sc1007a,loke@gmail.com,90001007,Loke,Bedok
1,sourav,sc1015,sourav@gmail.com,90001015,Sourav,Simei
2,lifang,sc2002,lifang@gmail.com,90002002,Li Fang,
